ICAO Code,IATA,Airport Name,City/Town,Country,Latitude Decimal Degrees,Longitude Decimal Degrees
ESMG,N/A,FERINGE,LJUNGBY,SWEDEN,56.95,13.922
ESMK,KID,KRISTIANSTAD,KRISTIANSTAD,SWEDEN,55.922,14.085
ESML,JLD,LANDSKRONA,LANDSKRONA,SWEDEN,55.945,12.861
ESMO,OSK,OSKARSHAMN,OSKARSHAMN,SWEDEN,57.35,16.498
ESMP,N/A,ANDERSTORP,ANDERSTORP,SWEDEN,57.264,13.599
ESMQ,KLR,KALMAR,KALKMAR,SWEDEN,56.685,16.288
ESMS,MMX,STURUP,MALMOE,SWEDEN,55.53,13.371
ESMT,HAD,HALMSTAD,HALMSTAD,SWEDEN,56.691,12.82
ESMV,N/A,HAGSHULT,HAGSHULT,SWEDEN,57.292,14.137
ESMX,VXO,KRONOBERG,VAXJO,SWEDEN,56.929,14.728
ESNA,N/A,HALLVIKEN,HALLVIKEN,SWEDEN,63.738,15.458
ESNC,N/A,HEDLANDA,HEDE,SWEDEN,62.409,13.747
ESND,EVG,SVEG,SVEG,SWEDEN,62.048,14.423
ESNF,N/A,FARILA,FARILA,SWEDEN,61.898,15.705
ESNG,GEV,GALLIVARE,GALLIVARE,SWEDEN,67.132,20.814
ESNH,HUV,HUDIKSVALL,HUDIKSVALL,SWEDEN,61.768,17.081
ESNI,N/A,KUBBE,KUBBE,SWEDEN,63.634,17.94
ESNJ,N/A,JOKKMOKK,JOKKMOKK,SWEDEN,66.496,20.147
ESNK,KRF,KRAMFORS SOLLEFTEA,KRAMFORS,SWEDEN,63.048,17.769
ESNL,LYC,LYCKSELE,LYCKSELE,SWEDEN,64.548,18.716
ESNM,N/A,OPTAND,OPTAND,SWEDEN,63.129,14.803
ESNN,SDL,SUNDSVALL HARNOSAND,SUNDSVALL,SWEDEN,62.528,17.444
ESNO,OER,ORNSKOLDSVIK,ORNSKOLDSVIK,SWEDEN,63.408,18.99
ESNP,N/A,PITEA,PITEA,SWEDEN,65.399,21.265
ESNQ,KRN,KIRUNA,KIRUNA,SWEDEN,67.822,20.337
ESNR,N/A,ORSA,ORSA,SWEDEN,61.19,14.712
ESNS,SFT,SKELLEFTEA,SKELLEFTEA,SWEDEN,64.625,21.077
ESNT,N/A,SATTNA,SATTNA,SWEDEN,62.481,17.003
ESNU,UME,UMEA,UMEA,SWEDEN,63.792,20.282
ESNV,VHM,VILHELMINA,VILHELMINA,SWEDEN,64.579,16.833
ESNX,AJR,ARVIDSJAUR,ARVIDSJAUR,SWEDEN,65.59,19.282
ESOE,ORB,OREBRO,OREBRO,SWEDEN,59.224,15.038
ESOH,N/A,HAGFORS,HAGFORS,SWEDEN,60.02,13.579
ESOW,VST,VASTERAS,VASTERAS,SWEDEN,59.589,16.634
ESPA,LLA,KALLAX,LULEA,SWEDEN,65.544,22.122
ESPC,OSD,FROSON,OSTERSUND,SWEDEN,63.194,14.502
ESPE,N/A,VIDSEL,VIDSEL,SWEDEN,65.875,20.15
ESPJ,N/A,HEDEN,HEDEN,SWEDEN,65.836,21.471
ESQO,N/A,ARBOGA,ARBOGA,SWEDEN,59.386,15.924
ESSA,ARN,ARLANDA,STOCKHOLM,SWEDEN,59.652,17.919
ESSB,BMA,BROMMA,STOCKHOLM,SWEDEN,59.354,17.941
ESSD,BLE,BORLANGE,BORLANGE,SWEDEN,60.422,15.515
ESSF,HLF,HULTSFRED,HULTSFRED,SWEDEN,57.526,15.824
ESSK,GVX,GAVLE SANDVIKEN,GAVLE,SWEDEN,60.593,16.951
ESSL,LPI,SAAB,LINKOEPING,SWEDEN,58.406,15.68
ESSP,NRK,KUNGSANGEN,NORRKOEPING,SWEDEN,58.586,16.251
ESST,N/A,TORSBY,TORSBY,SWEDEN,60.157,12.991
ESSU,N/A,ESKILSTUNA,ESKILSTUNA,SWEDEN,59.351,16.708
ESSV,VBY,VISBY,VISBY,SWEDEN,57.663,18.346
ESUA,N/A,AMSELE,AMSELE,SWEDEN,64.571,19.314
ESUD,N/A,STORUMAN,MOHED,SWEDEN,64.961,17.696
ESUE,N/A,IDRE,IDRE,SWEDEN,61.869,12.691
ESUF,N/A,FALLFORS,FALLFORS,SWEDEN,65.106,20.761
ESUK,N/A,KALIXFORS,KALIXFORS,SWEDEN,67.765,20.257
ESUT,N/A,HEMAVAN,HEMAVAN,SWEDEN,65.806,15.083
ETAD,SPM,SPANGDAHLEM AB,SPANGDAHLEM,GERMANY,49.973,6.692
ETAR,RMS,RAMSTEIN AB,RAMSTEIN,GERMANY,49.438,7.601
ETEJ,N/A,BAMBERG AAF,BAMBERG,GERMANY,49.92,10.914
ETEK,N/A,BAUMHOLDER AAF,BAUMHOLDER,GERMANY,49.65,7.3
ETEU,GHF,GIEBELSTADT AAF,GIEBELSTADT,GERMANY,49.648,9.966
ETHB,N/A,BUCKEBURG,BRUECKEBURG,GERMANY,52.278,9.082
ETHC,ZCN,CELLE,CELLE,GERMANY,52.591,10.022
ETHE,N/A,RHEINE BENTLAGE,RHEINE-BRENTLANGE,GERMANY,52.291,7.387
ETHF,N/A,FRITZLAR,FRITZLAR,GERMANY,51.114,9.286
ETHI,N/A,ITZEHOE HUNGRIGER WOLF,ITZEHOE,GERMANY,53.994,9.578
ETHL,N/A,LAUPHEIM,LAUPHEIM,GERMANY,48.22,9.91
ETHM,N/A,MENDIG,MENDIG,GERMANY,50.366,7.315
ETHN,N/A,NIEDERSTETTEN,NIEDERSTETTEN,GERMANY,49.392,9.958
ETHR,N/A,ROTH,ROTH,GERMANY,49.218,11.101
ETHS,N/A,FASSBERG,FASSBERG,GERMANY,52.919,10.184
ETHT,N/A,COTTBUS,COTTBUS,GERMANY,51.768,14.292
ETIC,N/A,GRAFENWOHR AAF,GRAFENWOEHR,GERMANY,49.699,11.941
ETID,ZNF,HANAU AAF,HANAU,GERMANY,50.169,8.961
ETIE,QHD,HEIDELBERG AAF,HEIDELBERG,GERMANY,49.393,8.652
ETIH,N/A,HOHENFELS AAF,HOHENFELS,GERMANY,49.218,11.836
ETIN,N/A,KITZINGEN AAF,KITZINGEN,GERMANY,49.743,10.201
ETME,N/A,EGGEBEK,EGGEBECK,GERMANY,54.625,9.341
ETMN,N/A,NORDHOLZ,NORDHOLZ,GERMANY,53.767,8.658
ETND,N/A,DIEPHOLZ,DIEPHOLZ,GERMANY,52.585,8.341
ETNG,GKE,GEILENKIRCHEN,GEILENKIRCHEN,GERMANY,50.961,6.042
ETNH,N/A,HOHN,HOHN,GERMANY,54.312,9.538
ETNJ,N/A,JEVER,JEVER,GERMANY,53.533,7.889
ETNL,RLG,LAAGE,LAAGE,GERMANY,53.918,12.279
ETNN,N/A,NORVENICH,NOERVENICH,GERMANY,50.831,6.658
ETNP,N/A,HOPSTEN,HOPSTEN,GERMANY,52.339,7.541
ETNR,N/A,PRESCHEN,PRESCHEN,GERMANY,51.664,14.634
ETNS,N/A,SCHLESWIG,SCHLESWIG,GERMANY,54.459,9.516
ETNT,N/A,WITTMUNDHAFEN,WITTMUNDHAFEN,GERMANY,53.548,7.667
ETNU,N/A,NEUBRANDENBURG,NEUBRANDENBURG,GERMANY,53.602,13.306
ETNW,N/A,WUNSTORF,WUNSTORF,GERMANY,52.457,9.427
ETOI,N/A,VILSECK AAF,VILSECK,GERMANY,49.634,11.767
ETOR,N/A,COLEMAN AAF,COLEMAN,GERMANY,49.563,8.463
ETOU,N/A,WIESBADEN AAF,WIESBADEN,GERMANY,50.05,8.325
ETSA,N/A,LANDSBERG LECH,LANDSBERG,GERMANY,48.071,10.906
ETSB,N/A,BUCHEL,BUECHEL,GERMANY,50.174,7.063
ETSE,N/A,ERDING,ERDING,GERMANY,48.322,11.949
ETSF,FEL,FURSTENFELDBRUCK,FUERSTENFELDBRUCK,GERMANY,48.206,11.267
ETSH,N/A,HOLZDORF,HOLZDORF,GERMANY,51.768,13.167
ETSI,N/A,INGOLSTADT MANCHING,INGOLSTADT,GERMANY,48.716,11.534
ETSL,N/A,LECHFELD,LECHFELD,GERMANY,48.186,10.862
ETSM,N/A,MEMMINGEN,MEMMINGEN,GERMANY,47.989,10.239
ETSN,N/A,NEUBURG,NEUBURG,GERMANY,48.711,11.211
ETUL,LRC,LAARBRUCH,LAARBRUCH,GERMANY,51.602,6.143
ETUO,GUT,GUTERSLOH,GUETERSLOH,GERMANY,51.923,8.306
ETUR,BGN,BRUGGEN,BRUEGGEN,GERMANY,51.2,6.132
FAAB,ALJ,ALEXANDER BAY,ALEXANDER BAY,SOUTH AFRICA,-28.575,16.533
FAAG,AGZ,AGGENEYS,AGGENEYS,SOUTH AFRICA,-29.282,18.814
FAAP,N/A,ARNOT POWER STATION,ARNOT POWER STATION,SOUTH AFRICA,-25.944,29.81
FABB,N/A,BRAKPAN,BRAKPAN,SOUTH AFRICA,-26.239,28.302
FABE,VIY,BISHO,BISHO,SOUTH AFRICA,-32.897,27.279
FABL,BFN,BLOEMFONTEIN,BLOEMFONTEIN,SOUTH AFRICA,-29.092,26.302
FABM,N/A,BETHLEHEM,BETHLEHEM,SOUTH AFRICA,-28.248,28.336
FABO,N/A,BOTHAVILLE,BOTHAVILLE,SOUTH AFRICA,-27.367,26.629
FACR,N/A,CARLETONVILLE,CARLETONVILLE,SOUTH AFRICA,-26.369,27.35
FACT,CPT,CAPE TOWN INTERNATIONAL,CAPE TOWN,SOUTH AFRICA,-33.965,18.602
FACV,N/A,CALVINIA,CALVINIA,SOUTH AFRICA,-31.5,19.726
FADA,N/A,DE AAR MILITARY,DE AAR,SOUTH AFRICA,-30.637,23.92
FADB,N/A,DWAALBOOM,DWAALBOOM,SOUTH AFRICA,-24.805,26.832
FADD,N/A,DUNDEE,DUNDEE,SOUTH AFRICA,-28.183,30.224
FADN,DUR,DURBAN INTERNATIONAL,DURBAN,SOUTH AFRICA,-29.97,30.95
FAEL,ELS,EAST LONDON,EAST LONDON,SOUTH AFRICA,-33.036,27.826
FAEO,N/A,ERMELO,ERMELO,SOUTH AFRICA,-26.495,29.98
FAER,ELL,ELLISRAS,ELLISRAS,SOUTH AFRICA,-23.726,27.688
FAFB,N/A,FICKSBURG SENTRAOES,FICKSBURG,SOUTH AFRICA,-28.823,27.909
FAGC,GCJ,GRAND CENTRAL,JOHANNESBURG,SOUTH AFRICA,-25.986,28.14
FAGG,GRJ,GEORGE,GEORGE,SOUTH AFRICA,-34.005,22.379
FAGI,N/A,GIYANI,GIYANI,SOUTH AFRICA,-23.284,30.65
FAGM,HCS,RAND,JOHANNESBURG,SOUTH AFRICA,-26.242,28.151
FAGT,N/A,GRAHAMSTOWN,GRAHAMSTOWN,SOUTH AFRICA,-33.285,26.498
FAGY,N/A,GREYTOWN,GREYTOWN,SOUTH AFRICA,-29.122,30.587
FAHA,N/A,HARMONY,HARMONY,SOUTH AFRICA,-28.079,26.861
FAHE,N/A,HENDRINA,PULLENSHOPE,SOUTH AFRICA,-25.979,29.619
FAHG,GHC,HEIDELBERG,HEIDELBERG,SOUTH AFRICA,-26.506,28.394
